Mode,NUMA,Bench,Size,CPUs,Run,MBps
SEV,interleave,copy_mem,1GB,8,3,54645.43
SEV,interleave,copy_mem,1GB,24,1,155552.03
SEV,interleave,copy_mem,1GB,24,2,155780.30
SEV,interleave,copy_mem,1GB,24,3,156698.98
SEV,interleave,copy_mem,1GB,48,1,192314.32
SEV,interleave,copy_mem,1GB,48,2,189052.02
SEV,interleave,copy_mem,1GB,48,3,196279.22
SEV,default,peakflops,20MB,8,1,24928.05
SEV,default,peakflops,20MB,8,2,24946.89
SEV,default,peakflops,20MB,8,3,24932.15
SEV,default,peakflops,20MB,24,1,75052.44
SEV,default,peakflops,20MB,24,2,74832.11
SEV,default,peakflops,20MB,24,3,74852.79
SEV,default,peakflops,20MB,48,1,143373.58
SEV,default,peakflops,20MB,48,2,145989.86
SEV,default,peakflops,20MB,48,3,148343.11
SEV,default,peakflops,1GB,8,1,24819.60
SEV,default,peakflops,1GB,8,2,24806.44
SEV,default,peakflops,1GB,8,3,24835.53
SEV,default,peakflops,1GB,24,1,74190.63
SEV,default,peakflops,1GB,24,2,74394.80
SEV,default,peakflops,1GB,24,3,74426.52
SEV,default,peakflops,1GB,48,1,100672.59
SEV,default,peakflops,1GB,48,2,101695.70
SEV,default,peakflops,1GB,48,3,101643.61
SEV,default,triad,20MB,8,1,350260.97
SEV,default,triad,20MB,8,2,349346.25
SEV,default,triad,20MB,8,3,352428.43
SEV,default,triad,20MB,24,1,1007286.87
SEV,default,triad,20MB,24,2,1033768.54
SEV,default,triad,20MB,24,3,1074131.27
SEV,default,triad,20MB,48,1,1977567.81
SEV,default,triad,20MB,48,2,2025158.75
SEV,default,triad,20MB,48,3,1976071.97
SEV,default,triad,1GB,8,1,39684.25
SEV,default,triad,1GB,8,2,39625.78
SEV,default,triad,1GB,8,3,39095.86
SEV,default,triad,1GB,24,1,74761.34
SEV,default,triad,1GB,24,2,74537.40
SEV,default,triad,1GB,24,3,74788.69
SEV,default,triad,1GB,48,1,90781.25
SEV,default,triad,1GB,48,2,107304.04
SEV,default,triad,1GB,48,3,116003.27
SEV,default,copy_mem,20MB,8,1,56383.81
SEV,default,copy_mem,20MB,8,2,56390.30
SEV,default,copy_mem,20MB,8,3,56361.15
SEV,default,copy_mem,20MB,24,1,164631.08
SEV,default,copy_mem,20MB,24,2,166024.29
SEV,default,copy_mem,20MB,24,3,162844.92
SEV,default,copy_mem,20MB,48,1,178375.42
SEV,default,copy_mem,20MB,48,2,179254.04
SEV,default,copy_mem,20MB,48,3,178923.46
SEV,default,copy_mem,1GB,8,1,54617.18
SEV,default,copy_mem,1GB,8,2,53818.29
SEV,default,copy_mem,1GB,8,3,54575.17
SEV,default,copy_mem,1GB,24,1,96092.77
SEV,default,copy_mem,1GB,24,2,96183.10
SEV,default,copy_mem,1GB,24,3,96026.93
SEV,default,copy_mem,1GB,48,1,113060.66
SEV,default,copy_mem,1GB,48,2,112043.66
SEV,default,copy_mem,1GB,48,3,112469.28
Native_othertop,default,peakflops,20MB,8,1,24951.59
Native_othertop,default,peakflops,20MB,8,2,24920.68
Native_othertop,default,peakflops,20MB,8,3,24945.93
Native_othertop,default,peakflops,20MB,24,1,74796.62
Native_othertop,default,peakflops,20MB,24,2,75035.78
Native_othertop,default,peakflops,20MB,24,3,74495.37
Native_othertop,default,peakflops,20MB,48,1,74102.63
Native_othertop,default,peakflops,20MB,48,2,74269.70
Native_othertop,default,peakflops,20MB,48,3,74303.34
Native_othertop,default,peakflops,1GB,8,1,24815.65
Native_othertop,default,peakflops,1GB,8,2,24828.43
Native_othertop,default,peakflops,1GB,8,3,24832.15
Native_othertop,default,peakflops,1GB,24,1,74348.47
Native_othertop,default,peakflops,1GB,24,2,74337.11
Native_othertop,default,peakflops,1GB,24,3,74377.69
Native_othertop,default,peakflops,1GB,48,1,73966.49
Native_othertop,default,peakflops,1GB,48,2,73966.56
Native_othertop,default,peakflops,1GB,48,3,73892.73
Native_othertop,default,triad,20MB,8,1,357531.45
Native_othertop,default,triad,20MB,8,2,356235.14
Native_othertop,default,triad,20MB,8,3,351542.19
Native_othertop,default,triad,20MB,24,1,1046520.84
Native_othertop,default,triad,20MB,24,2,1038422.54
Native_othertop,default,triad,20MB,24,3,1046065.70
Native_othertop,default,triad,20MB,48,1,1007013.38
Native_othertop,default,triad,20MB,48,2,1005760.25
Native_othertop,default,triad,20MB,48,3,1002499.21
Native_othertop,default,triad,1GB,8,1,40827.14
Native_othertop,default,triad,1GB,8,2,40830.70
Native_othertop,default,triad,1GB,8,3,40824.13
Native_othertop,default,triad,1GB,24,1,75418.24
Native_othertop,default,triad,1GB,24,2,75130.28
Native_othertop,default,triad,1GB,24,3,74872.08
Native_othertop,default,triad,1GB,48,1,76237.90
Native_othertop,default,triad,1GB,48,2,76561.62
Native_othertop,default,triad,1GB,48,3,76719.15
Native_othertop,default,copy_mem,20MB,8,1,56464.37
Native_othertop,default,copy_mem,20MB,8,2,56535.11
Native_othertop,default,copy_mem,20MB,8,3,56491.94
Native_othertop,default,copy_mem,20MB,24,1,167206.66
Native_othertop,default,copy_mem,20MB,24,2,167582.18
Native_othertop,default,copy_mem,20MB,24,3,167138.87
Native_othertop,default,copy_mem,20MB,48,1,168342.06
Native_othertop,default,copy_mem,20MB,48,2,168526.09
Native_othertop,default,copy_mem,20MB,48,3,168127.03
Native_othertop,default,copy_mem,1GB,8,1,54303.67
Native_othertop,default,copy_mem,1GB,8,2,54731.94
Native_othertop,default,copy_mem,1GB,8,3,54741.66
Native_othertop,default,copy_mem,1GB,24,1,95916.78
Native_othertop,default,copy_mem,1GB,24,2,96032.44
Native_othertop,default,copy_mem,1GB,24,3,95561.24
Native_othertop,default,copy_mem,1GB,48,1,95539.68
Native_othertop,default,copy_mem,1GB,48,2,95628.65
Native_othertop,default,copy_mem,1GB,48,3,95553.81
Native_othertop2,default,peakflops,20MB,8,1,24940.70
Native_othertop2,default,peakflops,20MB,8,2,24947.04
Native_othertop2,default,peakflops,20MB,8,3,24934.67
Native_othertop2,default,peakflops,20MB,24,1,74770.19
Native_othertop2,default,peakflops,20MB,24,2,75005.80
Native_othertop2,default,peakflops,20MB,24,3,74796.73
Native_othertop2,default,peakflops,20MB,48,1,74305.30
Native_othertop2,default,peakflops,20MB,48,2,74234.94
Native_othertop2,default,peakflops,20MB,48,3,74499.02
Native_othertop2,default,peakflops,1GB,8,1,24773.67
Native_othertop2,default,peakflops,1GB,8,2,24782.51
Native_othertop2,default,peakflops,1GB,8,3,24781.09
Native_othertop2,default,peakflops,1GB,24,1,74277.00
Native_othertop2,default,peakflops,1GB,24,2,74281.47
Native_othertop2,default,peakflops,1GB,24,3,74289.19
Native_othertop2,default,peakflops,1GB,48,1,73690.23
Native_othertop2,default,peakflops,1GB,48,2,73669.66
Native_othertop2,default,peakflops,1GB,48,3,73710.83
Native_othertop2,default,triad,20MB,8,1,358081.80
Native_othertop2,default,triad,20MB,8,2,354082.02
Native_othertop2,default,triad,20MB,8,3,358761.90
Native_othertop2,default,triad,20MB,24,1,1049094.82
Native_othertop2,default,triad,20MB,24,2,1052043.11
Native_othertop2,default,triad,20MB,24,3,965029.76
Native_othertop2,default,triad,20MB,48,1,992164.52
Native_othertop2,default,triad,20MB,48,2,1072543.54
Native_othertop2,default,triad,20MB,48,3,1014026.67
Native_othertop2,default,triad,1GB,8,1,40807.26
Native_othertop2,default,triad,1GB,8,2,40804.99
Native_othertop2,default,triad,1GB,8,3,40807.89
Native_othertop2,default,triad,1GB,24,1,75136.09
Native_othertop2,default,triad,1GB,24,2,75104.18
Native_othertop2,default,triad,1GB,24,3,75174.62
Native_othertop2,default,triad,1GB,48,1,75258.75
Native_othertop2,default,triad,1GB,48,2,75285.92
Native_othertop2,default,triad,1GB,48,3,75557.77
Native_othertop2,default,copy_mem,20MB,8,1,56443.07
Native_othertop2,default,copy_mem,20MB,8,2,56399.97
Native_othertop2,default,copy_mem,20MB,8,3,56402.52
Native_othertop2,default,copy_mem,20MB,24,1,167848.74
Native_othertop2,default,copy_mem,20MB,24,2,167880.07
Native_othertop2,default,copy_mem,20MB,24,3,167327.34
Native_othertop2,default,copy_mem,20MB,48,1,168479.35
Native_othertop2,default,copy_mem,20MB,48,2,167792.38
Native_othertop2,default,copy_mem,20MB,48,3,168483.07
Native_othertop2,default,copy_mem,1GB,8,1,54671.61
Native_othertop2,default,copy_mem,1GB,8,2,53922.64
Native_othertop2,default,copy_mem,1GB,8,3,54682.68
Native_othertop2,default,copy_mem,1GB,24,1,95606.48
Native_othertop2,default,copy_mem,1GB,24,2,95149.69
Native_othertop2,default,copy_mem,1GB,24,3,95400.43
Native_othertop2,default,copy_mem,1GB,48,1,95268.09
Native_othertop2,default,copy_mem,1GB,48,2,95209.98
Native_othertop2,default,copy_mem,1GB,48,3,95193.08
Native_othertop3,default,peakflops,20MB,8,1,24957.25
Native_othertop3,default,peakflops,20MB,8,2,24949.83
Native_othertop3,default,peakflops,20MB,8,3,24971.25
Native_othertop3,default,peakflops,20MB,24,1,75043.65
Native_othertop3,default,peakflops,20MB,24,2,74830.30
Native_othertop3,default,peakflops,20MB,24,3,74912.53
Native_othertop3,default,peakflops,20MB,48,1,142882.73
Native_othertop3,default,peakflops,20MB,48,2,143100.75
Native_othertop3,default,peakflops,20MB,48,3,142879.70
Native_othertop3,default,peakflops,1GB,8,1,24856.64
Native_othertop3,default,peakflops,1GB,8,2,24822.38
Native_othertop3,default,peakflops,1GB,8,3,24836.85
Native_othertop3,default,peakflops,1GB,24,1,74407.71
Native_othertop3,default,peakflops,1GB,24,2,74429.00
Native_othertop3,default,peakflops,1GB,24,3,74375.72
Native_othertop3,default,peakflops,1GB,48,1,140488.24
Native_othertop3,default,peakflops,1GB,48,2,146305.53
Native_othertop3,default,peakflops,1GB,48,3,145744.13
Native_othertop3,default,triad,20MB,8,1,355186.82
Native_othertop3,default,triad,20MB,8,2,350925.24
Native_othertop3,default,triad,20MB,8,3,356496.47
Native_othertop3,default,triad,20MB,24,1,1036502.19
Native_othertop3,default,triad,20MB,24,2,1023730.54
Native_othertop3,default,triad,20MB,24,3,1015727.93
Native_othertop3,default,triad,20MB,48,1,1993563.54
Native_othertop3,default,triad,20MB,48,2,2045394.38
Native_othertop3,default,triad,20MB,48,3,1983616.91
Native_othertop3,default,triad,1GB,8,1,41175.19
Native_othertop3,default,triad,1GB,8,2,41158.28
Native_othertop3,default,triad,1GB,8,3,41179.26
Native_othertop3,default,triad,1GB,24,1,105069.78
Native_othertop3,default,triad,1GB,24,2,106345.45
Native_othertop3,default,triad,1GB,24,3,103646.86
Native_othertop3,default,triad,1GB,48,1,119264.43
Native_othertop3,default,triad,1GB,48,2,121357.97
Native_othertop3,default,triad,1GB,48,3,123753.39
Native_othertop3,default,copy_mem,20MB,8,1,56421.80
Native_othertop3,default,copy_mem,20MB,8,2,56404.89
Native_othertop3,default,copy_mem,20MB,8,3,56420.47
Native_othertop3,default,copy_mem,20MB,24,1,169511.37
Native_othertop3,default,copy_mem,20MB,24,2,169523.10
Native_othertop3,default,copy_mem,20MB,24,3,169534.92
Native_othertop3,default,copy_mem,20MB,48,1,222467.76
Native_othertop3,default,copy_mem,20MB,48,2,186458.33
Native_othertop3,default,copy_mem,20MB,48,3,288658.04
Native_othertop3,default,copy_mem,1GB,8,1,54655.59
Native_othertop3,default,copy_mem,1GB,8,2,54678.78
Native_othertop3,default,copy_mem,1GB,8,3,54672.16
Native_othertop3,default,copy_mem,1GB,24,1,150759.84
Native_othertop3,default,copy_mem,1GB,24,2,150408.21
Native_othertop3,default,copy_mem,1GB,24,3,151670.59
Native_othertop3,default,copy_mem,1GB,48,1,153141.07
Native_othertop3,default,copy_mem,1GB,48,2,151142.05
Native_othertop3,default,copy_mem,1GB,48,3,154336.45
Native,default,peakflops,20MB,8,1,24936.69
Native,default,peakflops,20MB,8,2,24937.50
Native,default,peakflops,20MB,8,3,24943.80
Native,default,peakflops,20MB,24,1,75007.41
Native,default,peakflops,20MB,24,2,75007.08
Native,default,peakflops,20MB,24,3,74718.48
Native,default,peakflops,20MB,48,1,142837.04
Native,default,peakflops,20MB,48,2,142883.53
Native,default,peakflops,20MB,48,3,144267.76
Native,default,peakflops,1GB,8,1,24803.88
Native,default,peakflops,1GB,8,2,24810.17
Native,default,peakflops,1GB,8,3,24791.59
Native,default,peakflops,1GB,24,1,74190.44
Native,default,peakflops,1GB,24,2,73970.46
Native,default,peakflops,1GB,24,3,73955.49
Native,default,peakflops,1GB,48,1,147905.18
Native,default,peakflops,1GB,48,2,147616.29
Native,default,peakflops,1GB,48,3,142797.46
Native,default,triad,20MB,8,1,357033.21
Native,default,triad,20MB,8,2,350581.36
Native,default,triad,20MB,8,3,358912.01
Native,default,triad,20MB,24,1,1044495.65
Native,default,triad,20MB,24,2,1029932.54
Native,default,triad,20MB,24,3,1045203.87
Native,default,triad,20MB,48,1,2046266.91
Native,default,triad,20MB,48,2,2087834.09
Native,default,triad,20MB,48,3,2020980.62
Native,default,triad,1GB,8,1,39074.29
Native,default,triad,1GB,8,2,39108.49
Native,default,triad,1GB,8,3,39185.12
Native,default,triad,1GB,24,1,74128.01
Native,default,triad,1GB,24,2,74577.48
Native,default,triad,1GB,24,3,74176.63
Native,default,triad,1GB,48,1,170647.97
Native,default,triad,1GB,48,2,172602.85
Native,default,triad,1GB,48,3,171668.35
Native,default,copy_mem,20MB,8,1,56403.09
Native,default,copy_mem,20MB,8,2,56424.27
Native,default,copy_mem,20MB,8,3,56404.89
Native,default,copy_mem,20MB,24,1,168982.67
Native,default,copy_mem,20MB,24,2,169293.93
Native,default,copy_mem,20MB,24,3,168997.42
Native,default,copy_mem,20MB,48,1,318670.01
Native,default,copy_mem,20MB,48,2,286643.42
Native,default,copy_mem,20MB,48,3,321383.39
Native,default,copy_mem,1GB,8,1,54172.24
Native,default,copy_mem,1GB,8,2,54166.10
Native,default,copy_mem,1GB,8,3,54162.74
Native,default,copy_mem,1GB,24,1,94176.84
Native,default,copy_mem,1GB,24,2,94441.45
Native,default,copy_mem,1GB,24,3,94107.00
Native,default,copy_mem,1GB,48,1,194371.85
Native,default,copy_mem,1GB,48,2,194226.27
Native,default,copy_mem,1GB,48,3,194783.57
SEV96,default,peakflops,20MB,8,1,24925.34
SEV96,default,peakflops,20MB,8,2,24943.22
SEV96,default,peakflops,20MB,8,3,24963.22
SEV96,default,peakflops,20MB,24,1,75088.32
SEV96,default,peakflops,20MB,24,2,75060.24
SEV96,default,peakflops,20MB,24,3,75095.21
SEV96,default,peakflops,20MB,48,1,148641.20
SEV96,default,peakflops,20MB,48,2,142747.00
SEV96,default,peakflops,20MB,48,3,143003.55
SEV96,default,peakflops,20MB,72,1,217596.81
SEV96,default,peakflops,20MB,72,2,219301.76
SEV96,default,peakflops,20MB,72,3,213994.91
SEV96,default,peakflops,20MB,96,1,285031.64
SEV96,default,peakflops,20MB,96,2,289939.92
SEV96,default,peakflops,20MB,96,3,294439.45
SEV96,default,peakflops,1GB,8,1,24813.37
SEV96,default,peakflops,1GB,8,2,24821.32
SEV96,default,peakflops,1GB,8,3,24825.13
SEV96,default,peakflops,1GB,24,1,74401.21
SEV96,default,peakflops,1GB,24,2,74436.94
SEV96,default,peakflops,1GB,24,3,74379.97
SEV96,default,peakflops,1GB,48,1,102106.42
SEV96,default,peakflops,1GB,48,2,100848.88
SEV96,default,peakflops,1GB,48,3,101814.72
SEV96,default,peakflops,1GB,72,1,173762.78
SEV96,default,peakflops,1GB,72,2,173407.65
SEV96,default,peakflops,1GB,72,3,172586.12
SEV96,default,peakflops,1GB,96,1,277886.42
SEV96,default,peakflops,1GB,96,2,282639.26
SEV96,default,peakflops,1GB,96,3,284595.84
SEV96,default,triad,20MB,8,1,358892.60
SEV96,default,triad,20MB,8,2,358215.95
SEV96,default,triad,20MB,8,3,356855.74
SEV96,default,triad,20MB,24,1,1049011.13
SEV96,default,triad,20MB,24,2,1038152.28
SEV96,default,triad,20MB,24,3,1006253.01
SEV96,default,triad,20MB,48,1,2016449.85
SEV96,default,triad,20MB,48,2,2076902.28
SEV96,default,triad,20MB,48,3,2019439.90
SEV96,default,triad,20MB,72,1,2900536.16
SEV96,default,triad,20MB,72,2,2825926.33
SEV96,default,triad,20MB,72,3,2900203.60
SEV96,default,triad,20MB,96,1,3904558.09
SEV96,default,triad,20MB,96,2,3618319.42
SEV96,default,triad,20MB,96,3,3839789.56
SEV96,default,triad,1GB,8,1,38648.67
SEV96,default,triad,1GB,8,2,39592.69
SEV96,default,triad,1GB,8,3,39021.05
SEV96,default,triad,1GB,24,1,74542.60
SEV96,default,triad,1GB,24,2,74503.10
SEV96,default,triad,1GB,24,3,74587.38
SEV96,default,triad,1GB,48,1,92363.72
SEV96,default,triad,1GB,48,2,88175.62
SEV96,default,triad,1GB,48,3,92446.42
SEV96,default,triad,1GB,72,1,221969.40
SEV96,default,triad,1GB,72,2,206035.36
SEV96,default,triad,1GB,72,3,221760.90
SEV96,default,triad,1GB,96,1,375770.41
SEV96,default,triad,1GB,96,2,367120.03
SEV96,default,triad,1GB,96,3,372653.24
SEV96,default,copy_mem,20MB,8,1,56345.68
SEV96,default,copy_mem,20MB,8,2,56392.56
SEV96,default,copy_mem,20MB,8,3,56405.97
SEV96,default,copy_mem,20MB,24,1,164186.47
SEV96,default,copy_mem,20MB,24,2,166984.70
SEV96,default,copy_mem,20MB,24,3,165584.84
SEV96,default,copy_mem,20MB,48,1,178504.84
SEV96,default,copy_mem,20MB,48,2,177922.11
SEV96,default,copy_mem,20MB,48,3,179388.15
SEV96,default,copy_mem,20MB,72,1,278429.94
SEV96,default,copy_mem,20MB,72,2,222932.82
SEV96,default,copy_mem,20MB,72,3,224366.90
SEV96,default,copy_mem,20MB,96,1,290615.89
SEV96,default,copy_mem,20MB,96,2,290792.32
SEV96,default,copy_mem,20MB,96,3,289586.39
SEV96,default,copy_mem,1GB,8,1,54934.62
SEV96,default,copy_mem,1GB,8,2,54290.40
SEV96,default,copy_mem,1GB,8,3,54573.89
SEV96,default,copy_mem,1GB,24,1,95557.87
SEV96,default,copy_mem,1GB,24,2,95609.53
SEV96,default,copy_mem,1GB,24,3,95848.75
SEV96,default,copy_mem,1GB,48,1,113156.83
SEV96,default,copy_mem,1GB,48,2,112867.56
SEV96,default,copy_mem,1GB,48,3,113416.71
SEV96,default,copy_mem,1GB,72,1,194525.61
SEV96,default,copy_mem,1GB,72,2,195418.27
SEV96,default,copy_mem,1GB,72,3,194731.80
SEV96,default,copy_mem,1GB,96,1,298170.87
SEV96,default,copy_mem,1GB,96,2,296001.90
SEV96,default,copy_mem,1GB,96,3,296278.34
Native96,default,peakflops,20MB,8,1,24981.20
Native96,default,peakflops,20MB,8,2,24990.84
Native96,default,peakflops,20MB,8,3,24984.93
Native96,default,peakflops,20MB,24,1,75067.93
Native96,default,peakflops,20MB,24,2,75052.59
Native96,default,peakflops,20MB,24,3,75068.30
Native96,default,peakflops,20MB,48,1,143407.53
Native96,default,peakflops,20MB,48,2,145747.06
Native96,default,peakflops,20MB,48,3,148871.70
Native96,default,peakflops,20MB,72,1,214338.68
Native96,default,peakflops,20MB,72,2,214072.34
Native96,default,peakflops,20MB,72,3,222378.96
Native96,default,peakflops,20MB,96,1,285097.13
Native96,default,peakflops,20MB,96,2,285121.34
Native96,default,peakflops,20MB,96,3,290496.61
Native96,default,peakflops,1GB,8,1,24789.94
Native96,default,peakflops,1GB,8,2,24811.57
Native96,default,peakflops,1GB,8,3,24785.98
Native96,default,peakflops,1GB,24,1,73943.76
Native96,default,peakflops,1GB,24,2,73953.15
Native96,default,peakflops,1GB,24,3,73923.74
Native96,default,peakflops,1GB,48,1,145963.35
Native96,default,peakflops,1GB,48,2,147813.17
Native96,default,peakflops,1GB,48,3,147704.90
Native96,default,peakflops,1GB,72,1,144974.99
Native96,default,peakflops,1GB,72,2,145275.38
Native96,default,peakflops,1GB,72,3,143275.39
Native96,default,peakflops,1GB,96,1,278578.26
Native96,default,peakflops,1GB,96,2,281870.66
Native96,default,peakflops,1GB,96,3,275707.96
Native96,default,triad,20MB,8,1,358326.17
Native96,default,triad,20MB,8,2,357224.54
Native96,default,triad,20MB,8,3,357257.29
Native96,default,triad,20MB,24,1,1046228.60
Native96,default,triad,20MB,24,2,1016796.58
Native96,default,triad,20MB,24,3,1050789.02
Native96,default,triad,20MB,48,1,1984629.61
Native96,default,triad,20MB,48,2,2083437.65
