Matrix,Cores,Run,Type,Iteration,Runtime,Gflops
0-0_N1008246.bin,24,1,ITER,55,0.00340324,17.7757
0-0_N1008246.bin,24,1,ITER,56,0.00341776,17.7001
0-0_N1008246.bin,24,1,ITER,57,0.00342981,17.638
0-0_N1008246.bin,24,1,ITER,58,0.00344093,17.5809
0-0_N1008246.bin,24,1,ITER,59,0.00343562,17.6081
0-0_N1008246.bin,24,1,ITER,60,0.00341688,17.7047
0-0_N1008246.bin,24,1,ITER,61,0.00340064,17.7892
0-0_N1008246.bin,24,1,ITER,62,0.00340469,17.7681
0-0_N1008246.bin,24,1,ITER,63,0.00342438,17.6659
0-0_N1008246.bin,24,1,ITER,64,0.00340736,17.7541
0-0_N1008246.bin,24,1,ITER,65,0.00343623,17.605
0-0_N1008246.bin,24,1,ITER,66,0.00341108,17.7348
0-0_N1008246.bin,24,1,ITER,67,0.00344075,17.5818
0-0_N1008246.bin,24,1,ITER,68,0.00342596,17.6578
0-0_N1008246.bin,24,1,ITER,69,0.0034342,17.6154
0-0_N1008246.bin,24,1,ITER,70,0.00342833,17.6455
0-0_N1008246.bin,24,1,ITER,71,0.00343595,17.6064
0-0_N1008246.bin,24,1,ITER,72,0.00342832,17.6456
0-0_N1008246.bin,24,1,ITER,73,0.00341138,17.7332
0-0_N1008246.bin,24,1,ITER,74,0.00344431,17.5637
0-0_N1008246.bin,24,1,ITER,75,0.00342502,17.6626
0-0_N1008246.bin,24,1,ITER,76,0.0034115,17.7326
0-0_N1008246.bin,24,1,ITER,77,0.00342839,17.6452
0-0_N1008246.bin,24,1,ITER,78,0.00340777,17.752
0-0_N1008246.bin,24,1,ITER,79,0.00340133,17.7856
0-0_N1008246.bin,24,1,ITER,80,0.00341136,17.7333
0-0_N1008246.bin,24,1,ITER,81,0.00344613,17.5544
0-0_N1008246.bin,24,1,ITER,82,0.00342063,17.6853
0-0_N1008246.bin,24,1,ITER,83,0.00342353,17.6703
0-0_N1008246.bin,24,1,ITER,84,0.00343005,17.6367
0-0_N1008246.bin,24,1,ITER,85,0.00345074,17.531
0-0_N1008246.bin,24,1,ITER,86,0.00342051,17.6859
0-0_N1008246.bin,24,1,ITER,87,0.003401,17.7873
0-0_N1008246.bin,24,1,ITER,88,0.00338789,17.8562
0-0_N1008246.bin,24,1,ITER,89,0.00341875,17.695
0-0_N1008246.bin,24,1,ITER,90,0.00343385,17.6172
0-0_N1008246.bin,24,1,ITER,91,0.00341328,17.7233
0-0_N1008246.bin,24,1,ITER,92,0.00342297,17.6732
0-0_N1008246.bin,24,1,ITER,93,0.00342617,17.6567
0-0_N1008246.bin,24,1,ITER,94,0.00341536,17.7126
0-0_N1008246.bin,24,1,ITER,95,0.00343104,17.6316
0-0_N1008246.bin,24,1,ITER,96,0.00340096,17.7875
0-0_N1008246.bin,24,1,ITER,97,0.0034204,17.6864
0-0_N1008246.bin,24,1,ITER,98,0.00342961,17.639
0-0_N1008246.bin,24,1,ITER,99,0.00343171,17.6282
0-0_N1008246.bin,24,1,ITER,100,0.00342778,17.6484
0-0_N1008246.bin,24,1,ITER,101,0.00341268,17.7265
0-0_N1008246.bin,24,1,ITER,102,0.00342497,17.6629
0-0_N1008246.bin,24,1,ITER,103,0.00343237,17.6248
0-0_N1008246.bin,24,1,ITER,104,0.00343055,17.6341
0-0_N1008246.bin,24,1,ITER,105,0.00344008,17.5853
0-0_N1008246.bin,24,1,ITER,106,0.0034294,17.6401
0-0_N1008246.bin,24,1,ITER,107,0.00341619,17.7083
0-0_N1008246.bin,24,1,ITER,108,0.00340796,17.751
0-0_N1008246.bin,24,1,ITER,109,0.00342742,17.6502
0-0_N1008246.bin,24,1,ITER,110,0.00340798,17.7509
0-0_N1008246.bin,24,1,ITER,111,0.00343549,17.6088
0-0_N1008246.bin,24,1,ITER,112,0.00341642,17.7071
0-0_N1008246.bin,24,1,ITER,113,0.00341085,17.736
0-0_N1008246.bin,24,1,ITER,114,0.0034228,17.6741
0-0_N1008246.bin,24,1,ITER,115,0.00342534,17.661
0-0_N1008246.bin,24,1,ITER,116,0.00341845,17.6966
0-0_N1008246.bin,24,1,ITER,117,0.00341078,17.7364
0-0_N1008246.bin,24,1,ITER,118,0.00341303,17.7246
0-0_N1008246.bin,24,1,ITER,119,0.00344619,17.5541
0-0_N1008246.bin,24,1,ITER,120,0.00342702,17.6523
0-0_N1008246.bin,24,1,ITER,121,0.00341577,17.7104
0-0_N1008246.bin,24,1,ITER,122,0.00342604,17.6573
0-0_N1008246.bin,24,1,ITER,123,0.00341355,17.7219
0-0_N1008246.bin,24,1,ITER,124,0.00342625,17.6563
0-0_N1008246.bin,24,1,ITER,125,0.00341159,17.7321
0-0_N1008246.bin,24,1,ITER,126,0.00342439,17.6659
0-0_N1008246.bin,24,1,ITER,127,0.00340666,17.7578
0-0_N1008246.bin,24,1,ITER,128,0.00339285,17.8301
0-0_N1008246.bin,24,1,ITER,129,0.00341937,17.6918
0-0_N1008246.bin,24,1,ITER,130,0.00341605,17.709
0-0_N1008246.bin,24,1,ITER,131,0.00342845,17.6449
0-0_N1008246.bin,24,1,ITER,132,0.00341015,17.7396
0-0_N1008246.bin,24,1,ITER,133,0.00339446,17.8216
0-0_N1008246.bin,24,1,ITER,134,0.00342131,17.6817
0-0_N1008246.bin,24,1,ITER,135,0.00341771,17.7004
0-0_N1008246.bin,24,1,ITER,136,0.00343064,17.6337
0-0_N1008246.bin,24,1,ITER,137,0.0034111,17.7347
0-0_N1008246.bin,24,1,ITER,138,0.00343119,17.6308
0-0_N1008246.bin,24,1,ITER,139,0.0034311,17.6313
0-0_N1008246.bin,24,1,ITER,140,0.00341959,17.6906
0-0_N1008246.bin,24,1,ITER,141,0.00340707,17.7556
0-0_N1008246.bin,24,1,ITER,142,0.00340168,17.7838
0-0_N1008246.bin,24,1,ITER,143,0.00342669,17.654
0-0_N1008246.bin,24,1,ITER,144,0.00340795,17.751
0-0_N1008246.bin,24,1,ITER,145,0.00342037,17.6866
0-0_N1008246.bin,24,1,ITER,146,0.00340757,17.753
0-0_N1008246.bin,24,1,ITER,147,0.00344503,17.56
0-0_N1008246.bin,24,1,ITER,148,0.00342946,17.6397
0-0_N1008246.bin,24,1,ITER,149,0.00341151,17.7326
0-0_N1008246.bin,24,1,ITER,150,0.00341243,17.7278
0-0_N1008246.bin,24,1,ITER,151,0.00340824,17.7495
0-0_N1008246.bin,24,1,ITER,152,0.00342313,17.6723
0-0_N1008246.bin,24,1,ITER,153,0.00340399,17.7717
0-0_N1008246.bin,24,1,ITER,154,0.00340159,17.7842
0-0_N1008246.bin,24,1,ITER,155,0.00345467,17.511
0-0_N1008246.bin,24,1,ITER,156,0.0034409,17.5811
0-0_N1008246.bin,24,1,ITER,157,0.00341977,17.6897
0-0_N1008246.bin,24,1,ITER,158,0.003428,17.6472
0-0_N1008246.bin,24,1,ITER,159,0.00342243,17.6759
0-0_N1008246.bin,24,1,ITER,160,0.00340717,17.7551
0-0_N1008246.bin,24,1,ITER,161,0.00341584,17.71
0-0_N1008246.bin,24,1,ITER,162,0.00343485,17.612
0-0_N1008246.bin,24,1,ITER,163,0.00342969,17.6386
0-0_N1008246.bin,24,1,ITER,164,0.00341658,17.7063
0-0_N1008246.bin,24,1,ITER,165,0.00343252,17.624
0-0_N1008246.bin,24,1,ITER,166,0.0034476,17.5469
0-0_N1008246.bin,24,1,ITER,167,0.00345922,17.488
0-0_N1008246.bin,24,1,ITER,168,0.00343686,17.6018
0-0_N1008246.bin,24,1,ITER,169,0.00341247,17.7276
0-0_N1008246.bin,24,1,ITER,170,0.00342809,17.6468
0-0_N1008246.bin,24,1,ITER,171,0.00343679,17.6021
0-0_N1008246.bin,24,1,ITER,172,0.00342855,17.6444
0-0_N1008246.bin,24,1,ITER,173,0.00339198,17.8347
0-0_N1008246.bin,24,1,ITER,174,0.00341736,17.7022
0-0_N1008246.bin,24,1,ITER,175,0.00341735,17.7023
0-0_N1008246.bin,24,1,ITER,176,0.0034006,17.7894
0-0_N1008246.bin,24,1,ITER,177,0.00340929,17.7441
0-0_N1008246.bin,24,1,ITER,178,0.00340402,17.7716
0-0_N1008246.bin,24,1,ITER,179,0.00343108,17.6314
0-0_N1008246.bin,24,1,ITER,180,0.00342106,17.683
0-0_N1008246.bin,24,1,ITER,181,0.00341448,17.7171
0-0_N1008246.bin,24,1,ITER,182,0.00340198,17.7822
0-0_N1008246.bin,24,1,ITER,183,0.00339441,17.8219
0-0_N1008246.bin,24,1,ITER,184,0.00342501,17.6627
0-0_N1008246.bin,24,1,ITER,185,0.0034385,17.5934
0-0_N1008246.bin,24,1,ITER,186,0.00341371,17.7211
0-0_N1008246.bin,24,1,ITER,187,0.0034073,17.7545
0-0_N1008246.bin,24,1,ITER,188,0.0034062,17.7602
0-0_N1008246.bin,24,1,ITER,189,0.00340107,17.787
0-0_N1008246.bin,24,1,ITER,190,0.00340019,17.7916
0-0_N1008246.bin,24,1,ITER,191,0.00339551,17.8161
0-0_N1008246.bin,24,1,ITER,192,0.00342004,17.6883
0-0_N1008246.bin,24,1,ITER,193,0.00356575,16.9655
0-0_N1008246.bin,24,1,ITER,194,0.00343054,17.6342
0-0_N1008246.bin,24,1,ITER,195,0.00342808,17.6468
0-0_N1008246.bin,24,1,ITER,196,0.00340561,17.7633
0-0_N1008246.bin,24,1,ITER,197,0.00341389,17.7202
0-0_N1008246.bin,24,1,ITER,198,0.00342446,17.6655
0-0_N1008246.bin,24,1,ITER,199,0.00340821,17.7497
0-0_N1008246.bin,24,1,ITER,200,0.00342148,17.6809
0-0_N1008246.bin,24,1,ITER,201,0.0033983,17.8015
0-0_N1008246.bin,24,1,ITER,202,0.00340053,17.7898
0-0_N1008246.bin,24,1,ITER,203,0.00340837,17.7489
0-0_N1008246.bin,24,1,ITER,204,0.00344283,17.5712
0-0_N1008246.bin,24,1,ITER,205,0.00342108,17.6829
0-0_N1008246.bin,24,1,ITER,206,0.00341201,17.7299
0-0_N1008246.bin,24,1,ITER,207,0.00340934,17.7439
0-0_N1008246.bin,24,1,ITER,208,0.00341182,17.7309
0-0_N1008246.bin,24,1,ITER,209,0.0034362,17.6051
0-0_N1008246.bin,24,1,ITER,210,0.00342143,17.6811
0-0_N1008246.bin,24,1,ITER,211,0.00343083,17.6327
0-0_N1008246.bin,24,1,ITER,212,0.00342774,17.6486
0-0_N1008246.bin,24,1,ITER,213,0.00343135,17.63
0-0_N1008246.bin,24,1,ITER,214,0.00340265,17.7787
0-0_N1008246.bin,24,1,ITER,215,0.00341799,17.6989
0-0_N1008246.bin,24,1,ITER,216,0.00342729,17.6509
0-0_N1008246.bin,24,1,ITER,217,0.00343219,17.6257
0-0_N1008246.bin,24,1,ITER,218,0.00341052,17.7377
0-0_N1008246.bin,24,1,ITER,219,0.00341918,17.6928
0-0_N1008246.bin,24,1,ITER,220,0.00343763,17.5978
0-0_N1008246.bin,24,1,ITER,221,0.00341715,17.7033
0-0_N1008246.bin,24,1,ITER,222,0.00342586,17.6583
0-0_N1008246.bin,24,1,ITER,223,0.00341499,17.7145
0-0_N1008246.bin,24,1,ITER,224,0.00339945,17.7954
0-0_N1008246.bin,24,1,ITER,225,0.00344215,17.5747
0-0_N1008246.bin,24,1,ITER,226,0.00340757,17.753
0-0_N1008246.bin,24,1,ITER,227,0.00343398,17.6165
0-0_N1008246.bin,24,1,ITER,228,0.00340932,17.7439
0-0_N1008246.bin,24,1,ITER,229,0.00342639,17.6555
0-0_N1008246.bin,24,1,ITER,230,0.00340779,17.7519
0-0_N1008246.bin,24,1,ITER,231,0.00342395,17.6681
0-0_N1008246.bin,24,1,ITER,232,0.00342703,17.6522
0-0_N1008246.bin,24,1,ITER,233,0.00343645,17.6039
0-0_N1008246.bin,24,1,ITER,234,0.00341614,17.7085
0-0_N1008246.bin,24,1,ITER,235,0.00341599,17.7093
0-0_N1008246.bin,24,1,ITER,236,0.00343898,17.5909
0-0_N1008246.bin,24,1,ITER,237,0.00340429,17.7702
0-0_N1008246.bin,24,1,ITER,238,0.0034177,17.7004
0-0_N1008246.bin,24,1,ITER,239,0.00340213,17.7814
0-0_N1008246.bin,24,1,ITER,240,0.00341414,17.7189
0-0_N1008246.bin,24,1,ITER,241,0.00349264,17.3206
0-0_N1008246.bin,24,1,ITER,242,0.0034134,17.7227
0-0_N1008246.bin,24,1,ITER,243,0.00341542,17.7122
0-0_N1008246.bin,24,1,ITER,244,0.00340368,17.7734
0-0_N1008246.bin,24,1,ITER,245,0.00343259,17.6237
0-0_N1008246.bin,24,1,ITER,246,0.00341982,17.6895
0-0_N1008246.bin,24,1,ITER,247,0.00342088,17.684
0-0_N1008246.bin,24,1,ITER,248,0.00342831,17.6456
0-0_N1008246.bin,24,1,ITER,249,0.00342229,17.6767
0-0_N1008246.bin,24,1,ITER,250,0.00341275,17.7261
0-0_N1008246.bin,24,1,ITER,251,0.00341032,17.7387
0-0_N1008246.bin,24,1,ITER,252,0.00342579,17.6586
0-0_N1008246.bin,24,1,ITER,253,0.00342285,17.6738
0-0_N1008246.bin,24,1,ITER,254,0.00344483,17.561
0-0_N1008246.bin,24,1,ITER,255,0.0034148,17.7154
0-0_N1008246.bin,24,1,ITER,256,0.00342826,17.6459
0-0_N1008246.bin,24,1,ITER,257,0.00342141,17.6812
0-0_N1008246.bin,24,1,ITER,258,0.0034273,17.6508
0-0_N1008246.bin,24,1,ITER,259,0.00344058,17.5827
0-0_N1008246.bin,24,1,ITER,260,0.00342892,17.6425
0-0_N1008246.bin,24,1,ITER,261,0.00342116,17.6825
0-0_N1008246.bin,24,1,ITER,262,0.00342068,17.685
0-0_N1008246.bin,24,1,ITER,263,0.00340443,17.7694
0-0_N1008246.bin,24,1,ITER,264,0.00342733,17.6507
0-0_N1008246.bin,24,1,ITER,265,0.00341745,17.7017
0-0_N1008246.bin,24,1,ITER,266,0.0034297,17.6385
0-0_N1008246.bin,24,1,ITER,267,0.00340753,17.7532
0-0_N1008246.bin,24,1,ITER,268,0.00342819,17.6462
0-0_N1008246.bin,24,1,ITER,269,0.00342189,17.6787
0-0_N1008246.bin,24,1,ITER,270,0.00341581,17.7102
0-0_N1008246.bin,24,1,ITER,271,0.00341156,17.7323
0-0_N1008246.bin,24,1,ITER,272,0.00338943,17.8481
0-0_N1008246.bin,24,1,ITER,273,0.00340631,17.7596
0-0_N1008246.bin,24,1,ITER,274,0.00342539,17.6607
0-0_N1008246.bin,24,1,ITER,275,0.00343368,17.618
0-0_N1008246.bin,24,1,ITER,276,0.00341656,17.7064
0-0_N1008246.bin,24,1,ITER,277,0.00343374,17.6177
0-0_N1008246.bin,24,1,ITER,278,0.0034425,17.5729
0-0_N1008246.bin,24,1,ITER,279,0.00340407,17.7713
0-0_N1008246.bin,24,1,ITER,280,0.00343292,17.622
0-0_N1008246.bin,24,1,ITER,281,0.00343092,17.6322
0-0_N1008246.bin,24,1,ITER,282,0.00342561,17.6596
0-0_N1008246.bin,24,1,ITER,283,0.00342344,17.6708
0-0_N1008246.bin,24,1,ITER,284,0.00344122,17.5794
0-0_N1008246.bin,24,1,ITER,285,0.00342041,17.6864
0-0_N1008246.bin,24,1,ITER,286,0.00342461,17.6647
0-0_N1008246.bin,24,1,ITER,287,0.00342253,17.6755
0-0_N1008246.bin,24,1,ITER,288,0.00342376,17.6691
0-0_N1008246.bin,24,1,ITER,289,0.003459,17.4891
0-0_N1008246.bin,24,1,ITER,290,0.00345006,17.5344
0-0_N1008246.bin,24,1,ITER,291,0.00340333,17.7752
0-0_N1008246.bin,24,1,ITER,292,0.00341152,17.7325
0-0_N1008246.bin,24,1,ITER,293,0.00344167,17.5771
0-0_N1008246.bin,24,1,ITER,294,0.00343177,17.6279
0-0_N1008246.bin,24,1,ITER,295,0.00342278,17.6741
0-0_N1008246.bin,24,1,ITER,296,0.00342454,17.6651
0-0_N1008246.bin,24,1,ITER,297,0.00341692,17.7045
0-0_N1008246.bin,24,1,ITER,298,0.00341545,17.7121
0-0_N1008246.bin,24,1,ITER,299,0.00339115,17.839
0-0_N1008246.bin,24,1,ITER,300,0.00341666,17.7058
0-0_N1008246.bin,24,1,ITER,301,0.00340415,17.7709
0-0_N1008246.bin,24,1,ITER,302,0.00343005,17.6367
0-0_N1008246.bin,24,1,ITER,303,0.00341333,17.7231
0-0_N1008246.bin,24,1,ITER,304,0.00341143,17.733
0-0_N1008246.bin,24,1,ITER,305,0.00345029,17.5333
0-0_N1008246.bin,24,1,ITER,306,0.00342864,17.6439
0-0_N1008246.bin,24,1,ITER,307,0.00344169,17.577
0-0_N1008246.bin,24,1,ITER,308,0.00340395,17.7719
0-0_N1008246.bin,24,1,ITER,309,0.00343823,17.5947
0-0_N1008246.bin,24,1,ITER,310,0.00342731,17.6508
0-0_N1008246.bin,24,1,ITER,311,0.00342227,17.6768
0-0_N1008246.bin,24,1,ITER,312,0.00339444,17.8217
0-0_N1008246.bin,24,1,ITER,313,0.00341617,17.7084
0-0_N1008246.bin,24,1,ITER,314,0.00341785,17.6997
0-0_N1008246.bin,24,1,ITER,315,0.00341948,17.6912
0-0_N1008246.bin,24,1,ITER,316,0.00343507,17.6109
0-0_N1008246.bin,24,1,ITER,317,0.0034066,17.7581
0-0_N1008246.bin,24,1,ITER,318,0.0034377,17.5975
0-0_N1008246.bin,24,1,ITER,319,0.00341037,17.7385
0-0_N1008246.bin,24,1,ITER,320,0.00339485,17.8195
0-0_N1008246.bin,24,1,ITER,321,0.00343484,17.6121
0-0_N1008246.bin,24,1,ITER,322,0.0034199,17.689
0-0_N1008246.bin,24,1,ITER,323,0.00341101,17.7352
0-0_N1008246.bin,24,1,ITER,324,0.00367538,16.4595
0-0_N1008246.bin,24,1,ITER,325,0.00346664,17.4505
0-0_N1008246.bin,24,1,ITER,326,0.00358745,16.8629
0-0_N1008246.bin,24,1,ITER,327,0.00345676,17.5004
0-0_N1008246.bin,24,1,ITER,328,0.00341911,17.6931
0-0_N1008246.bin,24,1,ITER,329,0.00340876,17.7468
0-0_N1008246.bin,24,1,ITER,330,0.00342459,17.6648
0-0_N1008246.bin,24,1,ITER,331,0.00343033,17.6353
0-0_N1008246.bin,24,1,ITER,332,0.00344787,17.5455
0-0_N1008246.bin,24,1,ITER,333,0.00344129,17.5791
0-0_N1008246.bin,24,1,ITER,334,0.00341953,17.691
0-0_N1008246.bin,24,1,ITER,335,0.00343247,17.6243
0-0_N1008246.bin,24,1,ITER,336,0.00340082,17.7883
0-0_N1008246.bin,24,1,ITER,337,0.00342846,17.6449
0-0_N1008246.bin,24,1,ITER,338,0.00342836,17.6454
0-0_N1008246.bin,24,1,ITER,339,0.00344737,17.5481
0-0_N1008246.bin,24,1,ITER,340,0.00343453,17.6137
0-0_N1008246.bin,24,1,ITER,341,0.00342564,17.6594
0-0_N1008246.bin,24,1,ITER,342,0.00342847,17.6448
0-0_N1008246.bin,24,1,ITER,343,0.00340699,17.7561
0-0_N1008246.bin,24,1,ITER,344,0.00342781,17.6482
0-0_N1008246.bin,24,1,ITER,345,0.00340205,17.7818
0-0_N1008246.bin,24,1,ITER,346,0.00341732,17.7024
0-0_N1008246.bin,24,1,ITER,347,0.00342088,17.684
0-0_N1008246.bin,24,1,ITER,348,0.00341475,17.7157
0-0_N1008246.bin,24,1,ITER,349,0.00343973,17.5871
0-0_N1008246.bin,24,1,ITER,350,0.003428,17.6472
0-0_N1008246.bin,24,1,ITER,351,0.00343523,17.6101
0-0_N1008246.bin,24,1,ITER,352,0.00341215,17.7292
0-0_N1008246.bin,24,1,ITER,353,0.00342023,17.6873
0-0_N1008246.bin,24,1,ITER,354,0.00342512,17.6621
0-0_N1008246.bin,24,1,ITER,355,0.00342599,17.6576
0-0_N1008246.bin,24,1,ITER,356,0.00344747,17.5476
0-0_N1008246.bin,24,1,ITER,357,0.00342922,17.6409
0-0_N1008246.bin,24,1,ITER,358,0.00342208,17.6778
0-0_N1008246.bin,24,1,ITER,359,0.00340838,17.7488
0-0_N1008246.bin,24,1,ITER,360,0.00342179,17.6793
0-0_N1008246.bin,24,1,ITER,361,0.00341408,17.7192
0-0_N1008246.bin,24,1,ITER,362,0.00341678,17.7052
0-0_N1008246.bin,24,1,ITER,363,0.00343951,17.5882
0-0_N1008246.bin,24,1,ITER,364,0.00342359,17.67
0-0_N1008246.bin,24,1,ITER,365,0.00341938,17.6917
0-0_N1008246.bin,24,1,ITER,366,0.0034095,17.743
0-0_N1008246.bin,24,1,ITER,367,0.00343543,17.6091
0-0_N1008246.bin,24,1,ITER,368,0.00340744,17.7537
0-0_N1008246.bin,24,1,ITER,369,0.00343847,17.5935
0-0_N1008246.bin,24,1,ITER,370,0.00343672,17.6025
0-0_N1008246.bin,24,1,ITER,371,0.00342059,17.6855
0-0_N1008246.bin,24,1,ITER,372,0.00341277,17.726
0-0_N1008246.bin,24,1,ITER,373,0.0034193,17.6921
0-0_N1008246.bin,24,1,ITER,374,0.00343619,17.6052
0-0_N1008246.bin,24,1,ITER,375,0.0034145,17.717
0-0_N1008246.bin,24,1,ITER,376,0.00343152,17.6292
0-0_N1008246.bin,24,1,ITER,377,0.00341336,17.7229
0-0_N1008246.bin,24,1,ITER,378,0.00340995,17.7407
0-0_N1008246.bin,24,1,ITER,379,0.00343729,17.5996
0-0_N1008246.bin,24,1,ITER,380,0.00342256,17.6753
0-0_N1008246.bin,24,1,ITER,381,0.00343467,17.613
0-0_N1008246.bin,24,1,ITER,382,0.00341344,17.7225
0-0_N1008246.bin,24,1,ITER,383,0.00342535,17.6609
0-0_N1008246.bin,24,1,ITER,384,0.00341642,17.7071
0-0_N1008246.bin,24,1,ITER,385,0.00342223,17.677
0-0_N1008246.bin,24,1,ITER,386,0.0033934,17.8272
0-0_N1008246.bin,24,1,ITER,387,0.00342881,17.6431
0-0_N1008246.bin,24,1,ITER,388,0.00344603,17.5549
0-0_N1008246.bin,24,1,ITER,389,0.003412,17.73
0-0_N1008246.bin,24,1,ITER,390,0.00341921,17.6926
0-0_N1008246.bin,24,1,ITER,391,0.00342523,17.6615
0-0_N1008246.bin,24,1,ITER,392,0.00342994,17.6373
0-0_N1008246.bin,24,1,ITER,393,0.00340134,17.7856
0-0_N1008246.bin,24,1,ITER,394,0.00340245,17.7797
0-0_N1008246.bin,24,1,ITER,395,0.00341522,17.7133
0-0_N1008246.bin,24,1,ITER,396,0.00340622,17.7601
0-0_N1008246.bin,24,1,ITER,397,0.00342452,17.6652
0-0_N1008246.bin,24,1,ITER,398,0.0034224,17.6761
0-0_N1008246.bin,24,1,ITER,399,0.00343684,17.6019
0-0_N1008246.bin,24,1,ITER,400,0.00341998,17.6886
0-0_N1008246.bin,24,1,ITER,401,0.00345028,17.5333
0-0_N1008246.bin,24,1,ITER,402,0.00342582,17.6585
0-0_N1008246.bin,24,1,ITER,403,0.00342509,17.6622
0-0_N1008246.bin,24,1,ITER,404,0.00340519,17.7655
0-0_N1008246.bin,24,1,ITER,405,0.003434,17.6164
0-0_N1008246.bin,24,1,ITER,406,0.00342694,17.6527
0-0_N1008246.bin,24,1,ITER,407,0.00341534,17.7126
0-0_N1008246.bin,24,1,ITER,408,0.00341808,17.6985
0-0_N1008246.bin,24,1,ITER,409,0.0034196,17.6906
0-0_N1008246.bin,24,1,ITER,410,0.00340295,17.7772
0-0_N1008246.bin,24,1,ITER,411,0.00342022,17.6874
0-0_N1008246.bin,24,1,ITER,412,0.00343008,17.6366
0-0_N1008246.bin,24,1,ITER,413,0.00343023,17.6358
0-0_N1008246.bin,24,1,ITER,414,0.00338383,17.8776
0-0_N1008246.bin,24,1,ITER,415,0.00342581,17.6585
0-0_N1008246.bin,24,1,ITER,416,0.0034118,17.731
0-0_N1008246.bin,24,1,ITER,417,0.00341762,17.7009
0-0_N1008246.bin,24,1,ITER,418,0.00343451,17.6138
0-0_N1008246.bin,24,1,ITER,419,0.00342234,17.6764
0-0_N1008246.bin,24,1,ITER,420,0.003431,17.6318
0-0_N1008246.bin,24,1,ITER,421,0.00342585,17.6583
0-0_N1008246.bin,24,1,ITER,422,0.00342854,17.6445
0-0_N1008246.bin,24,1,ITER,423,0.00341586,17.7099
